Kota,Handphone,Unit,Revenue per Phone,Cost per phone,Revenue,Cost,Profit,Tanggal
BPN, Realme X3 Superzoom ,14, Rp8.900.000 , Rp8.785.000 , Rp124.600.000 , Rp122.990.000 , Rp1.610.000 ,01/01/2019
BPN, Samsung Galaxy S10 ,167, Rp16.000.000 , Rp15.950.000 , Rp2.672.000.000 , Rp2.663.650.000 , Rp8.350.000 ,01/06/2019
BPN, Samsung Galaxy S10 ,159, Rp16.000.000 , Rp15.950.000 , Rp2.544.000.000 , Rp2.536.050.000 , Rp7.950.000 ,01/11/2019
BPN, Nokia 9 ,115, Rp9.540.000 , Rp9.470.000 , Rp1.097.100.000 , Rp1.089.050.000 , Rp8.050.000 ,01/06/2019
BPN, Nokia 9 ,60, Rp9.540.000 , Rp9.470.000 , Rp572.400.000 , Rp568.200.000 , Rp4.200.000 ,01/12/2019
BPN, LG V50 ,132, Rp12.500.000 , Rp12.435.000 , Rp1.650.000.000 , Rp1.641.420.000 , Rp8.580.000 ,01/11/2018
BPN, LG V50 ,143, Rp12.500.000 , Rp12.435.000 , Rp1.787.500.000 , Rp1.778.205.000 , Rp9.295.000 ,01/10/2018
BPN, Realme X3 Superzoom ,139, Rp8.900.000 , Rp8.785.000 , Rp1.237.100.000 , Rp1.221.115.000 , Rp15.985.000 ,01/11/2019
BPN, Samsung Galaxy S10 ,101, Rp16.000.000 , Rp15.950.000 , Rp1.616.000.000 , Rp1.610.950.000 , Rp5.050.000 ,01/10/2018
BPN, Oppo Find X2 Pro ,47, Rp12.500.000 , Rp12.340.000 , Rp587.500.000 , Rp579.980.000 , Rp7.520.000 ,01/12/2018
BPN, Oppo Find X2 Pro ,90, Rp12.500.000 , Rp12.340.000 , Rp1.125.000.000 , Rp1.110.600.000 , Rp14.400.000 ,01/10/2018
BPN, Samsung Galaxy S10 ,105, Rp16.000.000 , Rp15.950.000 , Rp1.680.000.000 , Rp1.674.750.000 , Rp5.250.000 ,01/06/2019
BPN, Realme X3 Superzoom ,7, Rp8.900.000 , Rp8.785.000 , Rp62.300.000 , Rp61.495.000 , Rp805.000 ,01/02/2019
BPN, Xiaomi Mi 10 ,164, Rp11.000.000 , Rp10.900.000 , Rp1.804.000.000 , Rp1.787.600.000 , Rp16.400.000 ,01/04/2019
BPN, LG V50 ,121, Rp12.500.000 , Rp12.435.000 , Rp1.512.500.000 , Rp1.504.635.000 , Rp7.865.000 ,01/07/2019
BPN, Samsung Galaxy S10 ,139, Rp16.000.000 , Rp15.950.000 , Rp2.224.000.000 , Rp2.217.050.000 , Rp6.950.000 ,01/10/2019
BPN, Nokia 9 ,74, Rp9.540.000 , Rp9.470.000 , Rp705.960.000 , Rp700.780.000 , Rp5.180.000 ,01/12/2018
BPN, Realme X3 Superzoom ,27, Rp8.900.000 , Rp8.785.000 , Rp240.300.000 , Rp237.195.000 , Rp3.105.000 ,01/03/2019
BPN, Nokia 9 ,80, Rp9.540.000 , Rp9.470.000 , Rp763.200.000 , Rp757.600.000 , Rp5.600.000 ,01/09/2019
BPN, Realme X3 Superzoom ,22, Rp8.900.000 , Rp8.785.000 , Rp195.800.000 , Rp193.270.000 , Rp2.530.000 ,01/09/2019
BPN, Oppo Find X2 Pro ,117, Rp12.500.000 , Rp12.340.000 , Rp1.462.500.000 , Rp1.443.780.000 , Rp18.720.000 ,01/08/2019
BPN, Nokia 9 ,17, Rp9.540.000 , Rp9.470.000 , Rp162.180.000 , Rp160.990.000 , Rp1.190.000 ,01/10/2019
BPN, Xiaomi Mi 10 ,149, Rp11.000.000 , Rp10.900.000 , Rp1.639.000.000 , Rp1.624.100.000 , Rp14.900.000 ,01/12/2019
BPN, Xiaomi Mi 10 ,62, Rp11.000.000 , Rp10.900.000 , Rp682.000.000 , Rp675.800.000 , Rp6.200.000 ,01/11/2019
BPN, Oppo Find X2 Pro ,74, Rp12.500.000 , Rp12.340.000 , Rp925.000.000 , Rp913.160.000 , Rp11.840.000 ,01/12/2019
BPN, Samsung Galaxy S10 ,1, Rp16.000.000 , Rp15.950.000 , Rp16.000.000 , Rp15.950.000 , Rp50.000 ,01/03/2019
BPN, Xiaomi Mi 10 ,157, Rp11.000.000 , Rp10.900.000 , Rp1.727.000.000 , Rp1.711.300.000 , Rp15.700.000 ,01/05/2019
BPN, Samsung Galaxy S10 ,154, Rp16.000.000 , Rp15.950.000 , Rp2.464.000.000 , Rp2.456.300.000 , Rp7.700.000 ,01/10/2018
BPN, Realme X3 Superzoom ,79, Rp8.900.000 , Rp8.785.000 , Rp703.100.000 , Rp694.015.000 , Rp9.085.000 ,01/10/2018
BPN, Xiaomi Mi 10 ,126, Rp11.000.000 , Rp10.900.000 , Rp1.386.000.000 , Rp1.373.400.000 , Rp12.600.000 ,01/09/2019
BPN, Realme X3 Superzoom ,80, Rp8.900.000 , Rp8.785.000 , Rp712.000.000 , Rp702.800.000 , Rp9.200.000 ,01/10/2019
BPN, Samsung Galaxy S10 ,60, Rp16.000.000 , Rp15.950.000 , Rp960.000.000 , Rp957.000.000 , Rp3.000.000 ,01/12/2019
BPN, Oppo Find X2 Pro ,147, Rp12.500.000 , Rp12.340.000 , Rp1.837.500.000 , Rp1.813.980.000 , Rp23.520.000 ,01/05/2019
BPN, Samsung Galaxy S10 ,158, Rp16.000.000 , Rp15.950.000 , Rp2.528.000.000 , Rp2.520.100.000 , Rp7.900.000 ,01/06/2019
BPN, Oppo Find X2 Pro ,45, Rp12.500.000 , Rp12.340.000 , Rp562.500.000 , Rp555.300.000 , Rp7.200.000 ,01/10/2018
BPN, Realme X3 Superzoom ,165, Rp8.900.000 , Rp8.785.000 , Rp1.468.500.000 , Rp1.449.525.000 , Rp18.975.000 ,01/10/2019
BPN, Samsung Galaxy S10 ,168, Rp16.000.000 , Rp15.950.000 , Rp2.688.000.000 , Rp2.679.600.000 , Rp8.400.000 ,01/11/2019
BPN, Nokia 9 ,38, Rp9.540.000 , Rp9.470.000 , Rp362.520.000 , Rp359.860.000 , Rp2.660.000 ,01/11/2019
BPN, Samsung Galaxy S10 ,2, Rp16.000.000 , Rp15.950.000 , Rp32.000.000 , Rp31.900.000 , Rp100.000 ,01/01/2019
BPN, LG V50 ,67, Rp12.500.000 , Rp12.435.000 , Rp837.500.000 , Rp833.145.000 , Rp4.355.000 ,01/06/2019
BPN, Oppo Find X2 Pro ,76, Rp12.500.000 , Rp12.340.000 , Rp950.000.000 , Rp937.840.000 , Rp12.160.000 ,01/09/2019
BPN, Xiaomi Mi 10 ,54, Rp11.000.000 , Rp10.900.000 , Rp594.000.000 , Rp588.600.000 , Rp5.400.000 ,01/08/2019
BPN, Xiaomi Mi 10 ,106, Rp11.000.000 , Rp10.900.000 , Rp1.166.000.000 , Rp1.155.400.000 , Rp10.600.000 ,01/10/2018
BPN, Realme X3 Superzoom ,20, Rp8.900.000 , Rp8.785.000 , Rp178.000.000 , Rp175.700.000 , Rp2.300.000 ,01/06/2019
