Kota,Handphone,Unit,Revenue per Phone,Cost per phone,Revenue,Cost,Profit,Tanggal
BTH, Samsung Galaxy S10 ,116, Rp16.000.000 , Rp15.950.000 , Rp1.856.000.000 , Rp1.850.200.000 , Rp5.800.000 ,01/12/2019
BTH, Nokia 9 ,69, Rp9.540.000 , Rp9.470.000 , Rp658.260.000 , Rp653.430.000 , Rp4.830.000 ,01/01/2019
BTH, Oppo Find X2 Pro ,69, Rp12.500.000 , Rp12.340.000 , Rp862.500.000 , Rp851.460.000 , Rp11.040.000 ,01/06/2019
BTH, Xiaomi Mi 10 ,35, Rp11.000.000 , Rp10.900.000 , Rp385.000.000 , Rp381.500.000 , Rp3.500.000 ,01/03/2019
BTH, LG V50 ,153, Rp12.500.000 , Rp12.435.000 , Rp1.912.500.000 , Rp1.902.555.000 , Rp9.945.000 ,01/05/2019
BTH, Samsung Galaxy S10 ,9, Rp16.000.000 , Rp15.950.000 , Rp144.000.000 , Rp143.550.000 , Rp450.000 ,01/01/2019
BTH, Nokia 9 ,136, Rp9.540.000 , Rp9.470.000 , Rp1.297.440.000 , Rp1.287.920.000 , Rp9.520.000 ,01/12/2018
BTH, LG V50 ,155, Rp12.500.000 , Rp12.435.000 , Rp1.937.500.000 , Rp1.927.425.000 , Rp10.075.000 ,01/06/2019
BTH, LG V50 ,93, Rp12.500.000 , Rp12.435.000 , Rp1.162.500.000 , Rp1.156.455.000 , Rp6.045.000 ,01/09/2018
BTH, Xiaomi Mi 10 ,7, Rp11.000.000 , Rp10.900.000 , Rp77.000.000 , Rp76.300.000 , Rp700.000 ,01/10/2019
BTH, Oppo Find X2 Pro ,163, Rp12.500.000 , Rp12.340.000 , Rp2.037.500.000 , Rp2.011.420.000 , Rp26.080.000 ,01/09/2019
BTH, Samsung Galaxy S10 ,15, Rp16.000.000 , Rp15.950.000 , Rp240.000.000 , Rp239.250.000 , Rp750.000 ,01/01/2019
BTH, Oppo Find X2 Pro ,112, Rp12.500.000 , Rp12.340.000 , Rp1.400.000.000 , Rp1.382.080.000 , Rp17.920.000 ,01/07/2019
BTH, Xiaomi Mi 10 ,14, Rp11.000.000 , Rp10.900.000 , Rp154.000.000 , Rp152.600.000 , Rp1.400.000 ,01/01/2019
BTH, Xiaomi Mi 10 ,104, Rp11.000.000 , Rp10.900.000 , Rp1.144.000.000 , Rp1.133.600.000 , Rp10.400.000 ,01/12/2019
BTH, Samsung Galaxy S10 ,116, Rp16.000.000 , Rp15.950.000 , Rp1.856.000.000 , Rp1.850.200.000 , Rp5.800.000 ,01/06/2019
BTH, Samsung Galaxy S10 ,19, Rp16.000.000 , Rp15.950.000 , Rp304.000.000 , Rp303.050.000 , Rp950.000 ,01/06/2019
BTH, LG V50 ,15, Rp12.500.000 , Rp12.435.000 , Rp187.500.000 , Rp186.525.000 , Rp975.000 ,01/10/2018
BTH, Nokia 9 ,34, Rp9.540.000 , Rp9.470.000 , Rp324.360.000 , Rp321.980.000 , Rp2.380.000 ,01/11/2019
BTH, Samsung Galaxy S10 ,56, Rp16.000.000 , Rp15.950.000 , Rp896.000.000 , Rp893.200.000 , Rp2.800.000 ,01/05/2019
BTH, LG V50 ,15, Rp12.500.000 , Rp12.435.000 , Rp187.500.000 , Rp186.525.000 , Rp975.000 ,01/12/2019
BTH, Samsung Galaxy S10 ,15, Rp16.000.000 , Rp15.950.000 , Rp240.000.000 , Rp239.250.000 , Rp750.000 ,01/11/2019
BTH, Samsung Galaxy S10 ,2, Rp16.000.000 , Rp15.950.000 , Rp32.000.000 , Rp31.900.000 , Rp100.000 ,01/09/2019
BTH, Realme X3 Superzoom ,125, Rp8.900.000 , Rp8.785.000 , Rp1.112.500.000 , Rp1.098.125.000 , Rp14.375.000 ,01/11/2019
BTH, Oppo Find X2 Pro ,168, Rp12.500.000 , Rp12.340.000 , Rp2.100.000.000 , Rp2.073.120.000 , Rp26.880.000 ,01/11/2018
BTH, Realme X3 Superzoom ,66, Rp8.900.000 , Rp8.785.000 , Rp587.400.000 , Rp579.810.000 , Rp7.590.000 ,01/06/2019
BTH, Samsung Galaxy S10 ,88, Rp16.000.000 , Rp15.950.000 , Rp1.408.000.000 , Rp1.403.600.000 , Rp4.400.000 ,01/06/2019
BTH, Samsung Galaxy S10 ,95, Rp16.000.000 , Rp15.950.000 , Rp1.520.000.000 , Rp1.515.250.000 , Rp4.750.000 ,01/07/2019
BTH, Realme X3 Superzoom ,133, Rp8.900.000 , Rp8.785.000 , Rp1.183.700.000 , Rp1.168.405.000 , Rp15.295.000 ,01/08/2019
BTH, Realme X3 Superzoom ,49, Rp8.900.000 , Rp8.785.000 , Rp436.100.000 , Rp430.465.000 , Rp5.635.000 ,01/10/2018
BTH, Samsung Galaxy S10 ,118, Rp16.000.000 , Rp15.950.000 , Rp1.888.000.000 , Rp1.882.100.000 , Rp5.900.000 ,01/03/2019
BTH, Samsung Galaxy S10 ,74, Rp16.000.000 , Rp15.950.000 , Rp1.184.000.000 , Rp1.180.300.000 , Rp3.700.000 ,01/08/2019
BTH, Xiaomi Mi 10 ,152, Rp11.000.000 , Rp10.900.000 , Rp1.672.000.000 , Rp1.656.800.000 , Rp15.200.000 ,01/11/2018
BTH, Realme X3 Superzoom ,104, Rp8.900.000 , Rp8.785.000 , Rp925.600.000 , Rp913.640.000 , Rp11.960.000 ,01/12/2019
BTH, Nokia 9 ,163, Rp9.540.000 , Rp9.470.000 , Rp1.555.020.000 , Rp1.543.610.000 , Rp11.410.000 ,01/03/2019
BTH, Nokia 9 ,54, Rp9.540.000 , Rp9.470.000 , Rp515.160.000 , Rp511.380.000 , Rp3.780.000 ,01/02/2019
BTH, Samsung Galaxy S10 ,28, Rp16.000.000 , Rp15.950.000 , Rp448.000.000 , Rp446.600.000 , Rp1.400.000 ,01/09/2018
BTH, Samsung Galaxy S10 ,152, Rp16.000.000 , Rp15.950.000 , Rp2.432.000.000 , Rp2.424.400.000 , Rp7.600.000 ,01/11/2018
BTH, Samsung Galaxy S10 ,72, Rp16.000.000 , Rp15.950.000 , Rp1.152.000.000 , Rp1.148.400.000 , Rp3.600.000 ,01/02/2019
BTH, LG V50 ,148, Rp12.500.000 , Rp12.435.000 , Rp1.850.000.000 , Rp1.840.380.000 , Rp9.620.000 ,01/11/2018
BTH, Samsung Galaxy S10 ,5, Rp16.000.000 , Rp15.950.000 , Rp80.000.000 , Rp79.750.000 , Rp250.000 ,01/03/2019
BTH, Realme X3 Superzoom ,88, Rp8.900.000 , Rp8.785.000 , Rp783.200.000 , Rp773.080.000 , Rp10.120.000 ,01/09/2019
BTH, Samsung Galaxy S10 ,10, Rp16.000.000 , Rp15.950.000 , Rp160.000.000 , Rp159.500.000 , Rp500.000 ,01/12/2019
BTH, Oppo Find X2 Pro ,121, Rp12.500.000 , Rp12.340.000 , Rp1.512.500.000 , Rp1.493.140.000 , Rp19.360.000 ,01/06/2019
BTH, Oppo Find X2 Pro ,36, Rp12.500.000 , Rp12.340.000 , Rp450.000.000 , Rp444.240.000 , Rp5.760.000 ,01/10/2019
BTH, Xiaomi Mi 10 ,87, Rp11.000.000 , Rp10.900.000 , Rp957.000.000 , Rp948.300.000 , Rp8.700.000 ,01/10/2018
BTH, Xiaomi Mi 10 ,115, Rp11.000.000 , Rp10.900.000 , Rp1.265.000.000 , Rp1.253.500.000 , Rp11.500.000 ,01/10/2018
BTH, Samsung Galaxy S10 ,68, Rp16.000.000 , Rp15.950.000 , Rp1.088.000.000 , Rp1.084.600.000 , Rp3.400.000 ,01/12/2018
BTH, LG V50 ,80, Rp12.500.000 , Rp12.435.000 , Rp1.000.000.000 , Rp994.800.000 , Rp5.200.000 ,01/10/2018
BTH, Nokia 9 ,8, Rp9.540.000 , Rp9.470.000 , Rp76.320.000 , Rp75.760.000 , Rp560.000 ,01/04/2019
BTH, Xiaomi Mi 10 ,103, Rp11.000.000 , Rp10.900.000 , Rp1.133.000.000 , Rp1.122.700.000 , Rp10.300.000 ,01/10/2019
BTH, LG V50 ,17, Rp12.500.000 , Rp12.435.000 , Rp212.500.000 , Rp211.395.000 , Rp1.105.000 ,01/11/2019
BTH, Xiaomi Mi 10 ,52, Rp11.000.000 , Rp10.900.000 , Rp572.000.000 , Rp566.800.000 , Rp5.200.000 ,01/09/2019
BTH, LG V50 ,119, Rp12.500.000 , Rp12.435.000 , Rp1.487.500.000 , Rp1.479.765.000 , Rp7.735.000 ,01/02/2019
BTH, Realme X3 Superzoom ,99, Rp8.900.000 , Rp8.785.000 , Rp881.100.000 , Rp869.715.000 , Rp11.385.000 ,01/03/2019
BTH, Samsung Galaxy S10 ,1, Rp16.000.000 , Rp15.950.000 , Rp16.000.000 , Rp15.950.000 , Rp50.000 ,01/11/2019
BTH, Samsung Galaxy S10 ,154, Rp16.000.000 , Rp15.950.000 , Rp2.464.000.000 , Rp2.456.300.000 , Rp7.700.000 ,01/11/2018
BTH, LG V50 ,10, Rp12.500.000 , Rp12.435.000 , Rp125.000.000 , Rp124.350.000 , Rp650.000 ,01/10/2019
BTH, Oppo Find X2 Pro ,22, Rp12.500.000 , Rp12.340.000 , Rp275.000.000 , Rp271.480.000 , Rp3.520.000 ,01/04/2019
BTH, Nokia 9 ,1, Rp9.540.000 , Rp9.470.000 , Rp9.540.000 , Rp9.470.000 , Rp70.000 ,01/05/2019
BTH, Samsung Galaxy S10 ,97, Rp16.000.000 , Rp15.950.000 , Rp1.552.000.000 , Rp1.547.150.000 , Rp4.850.000 ,01/04/2019
BTH, LG V50 ,163, Rp12.500.000 , Rp12.435.000 , Rp2.037.500.000 , Rp2.026.905.000 , Rp10.595.000 ,01/04/2019
BTH, Samsung Galaxy S10 ,60, Rp16.000.000 , Rp15.950.000 , Rp960.000.000 , Rp957.000.000 , Rp3.000.000 ,01/04/2019
BTH, LG V50 ,27, Rp12.500.000 , Rp12.435.000 , Rp337.500.000 , Rp335.745.000 , Rp1.755.000 ,01/03/2019
BTH, Oppo Find X2 Pro ,122, Rp12.500.000 , Rp12.340.000 , Rp1.525.000.000 , Rp1.505.480.000 , Rp19.520.000 ,01/11/2019
BTH, LG V50 ,53, Rp12.500.000 , Rp12.435.000 , Rp662.500.000 , Rp659.055.000 , Rp3.445.000 ,01/09/2018
BTH, Realme X3 Superzoom ,111, Rp8.900.000 , Rp8.785.000 , Rp987.900.000 , Rp975.135.000 , Rp12.765.000 ,01/10/2018
BTH, Oppo Find X2 Pro ,158, Rp12.500.000 , Rp12.340.000 , Rp1.975.000.000 , Rp1.949.720.000 , Rp25.280.000 ,01/12/2018
BTH, Oppo Find X2 Pro ,111, Rp12.500.000 , Rp12.340.000 , Rp1.387.500.000 , Rp1.369.740.000 , Rp17.760.000 ,01/12/2019
BTH, Nokia 9 ,53, Rp9.540.000 , Rp9.470.000 , Rp505.620.000 , Rp501.910.000 , Rp3.710.000 ,01/06/2019
