Kota,Handphone,Unit,Revenue per Phone,Cost per phone,Revenue,Cost,Profit,Tanggal
DPS, LG V50 ,2, Rp12.500.000 , Rp12.435.000 , Rp25.000.000 , Rp24.870.000 , Rp130.000 ,01/10/2018
DPS, Realme X3 Superzoom ,66, Rp8.900.000 , Rp8.785.000 , Rp587.400.000 , Rp579.810.000 , Rp7.590.000 ,01/02/2019
DPS, Oppo Find X2 Pro ,166, Rp12.500.000 , Rp12.340.000 , Rp2.075.000.000 , Rp2.048.440.000 , Rp26.560.000 ,01/07/2019
DPS, Xiaomi Mi 10 ,142, Rp11.000.000 , Rp10.900.000 , Rp1.562.000.000 , Rp1.547.800.000 , Rp14.200.000 ,01/03/2019
DPS, LG V50 ,50, Rp12.500.000 , Rp12.435.000 , Rp625.000.000 , Rp621.750.000 , Rp3.250.000 ,01/11/2018
DPS, Samsung Galaxy S10 ,110, Rp16.000.000 , Rp15.950.000 , Rp1.760.000.000 , Rp1.754.500.000 , Rp5.500.000 ,01/12/2019
DPS, Nokia 9 ,72, Rp9.540.000 , Rp9.470.000 , Rp686.880.000 , Rp681.840.000 , Rp5.040.000 ,01/01/2019
DPS, Nokia 9 ,32, Rp9.540.000 , Rp9.470.000 , Rp305.280.000 , Rp303.040.000 , Rp2.240.000 ,01/07/2019
DPS, Xiaomi Mi 10 ,95, Rp11.000.000 , Rp10.900.000 , Rp1.045.000.000 , Rp1.035.500.000 , Rp9.500.000 ,01/10/2018
DPS, Xiaomi Mi 10 ,77, Rp11.000.000 , Rp10.900.000 , Rp847.000.000 , Rp839.300.000 , Rp7.700.000 ,01/02/2019
DPS, LG V50 ,112, Rp12.500.000 , Rp12.435.000 , Rp1.400.000.000 , Rp1.392.720.000 , Rp7.280.000 ,01/03/2019
DPS, Samsung Galaxy S10 ,56, Rp16.000.000 , Rp15.950.000 , Rp896.000.000 , Rp893.200.000 , Rp2.800.000 ,01/11/2018
DPS, Samsung Galaxy S10 ,85, Rp16.000.000 , Rp15.950.000 , Rp1.360.000.000 , Rp1.355.750.000 , Rp4.250.000 ,01/10/2019
DPS, Samsung Galaxy S10 ,111, Rp16.000.000 , Rp15.950.000 , Rp1.776.000.000 , Rp1.770.450.000 , Rp5.550.000 ,01/10/2019
DPS, Samsung Galaxy S10 ,6, Rp16.000.000 , Rp15.950.000 , Rp96.000.000 , Rp95.700.000 , Rp300.000 ,01/09/2019
DPS, Xiaomi Mi 10 ,153, Rp11.000.000 , Rp10.900.000 , Rp1.683.000.000 , Rp1.667.700.000 , Rp15.300.000 ,01/05/2019
DPS, LG V50 ,14, Rp12.500.000 , Rp12.435.000 , Rp175.000.000 , Rp174.090.000 , Rp910.000 ,01/01/2019
DPS, Oppo Find X2 Pro ,136, Rp12.500.000 , Rp12.340.000 , Rp1.700.000.000 , Rp1.678.240.000 , Rp21.760.000 ,01/06/2019
DPS, Xiaomi Mi 10 ,120, Rp11.000.000 , Rp10.900.000 , Rp1.320.000.000 , Rp1.308.000.000 , Rp12.000.000 ,01/11/2019
DPS, LG V50 ,139, Rp12.500.000 , Rp12.435.000 , Rp1.737.500.000 , Rp1.728.465.000 , Rp9.035.000 ,01/08/2019
DPS, Realme X3 Superzoom ,45, Rp8.900.000 , Rp8.785.000 , Rp400.500.000 , Rp395.325.000 , Rp5.175.000 ,01/12/2018
DPS, Samsung Galaxy S10 ,29, Rp16.000.000 , Rp15.950.000 , Rp464.000.000 , Rp462.550.000 , Rp1.450.000 ,01/10/2018
