Kota,Handphone,Unit,Revenue per Phone,Cost per phone,Revenue,Cost,Profit,Tanggal
JOG, Xiaomi Mi 10 ,48, Rp11.000.000 , Rp10.900.000 , Rp528.000.000 , Rp523.200.000 , Rp4.800.000 ,01/06/2019
JOG, Oppo Find X2 Pro ,136, Rp12.500.000 , Rp12.340.000 , Rp1.700.000.000 , Rp1.678.240.000 , Rp21.760.000 ,01/10/2019
JOG, Samsung Galaxy S10 ,45, Rp16.000.000 , Rp15.950.000 , Rp720.000.000 , Rp717.750.000 , Rp2.250.000 ,01/09/2018
JOG, Nokia 9 ,14, Rp9.540.000 , Rp9.470.000 , Rp133.560.000 , Rp132.580.000 , Rp980.000 ,01/01/2019
JOG, Oppo Find X2 Pro ,106, Rp12.500.000 , Rp12.340.000 , Rp1.325.000.000 , Rp1.308.040.000 , Rp16.960.000 ,01/10/2018
JOG, Samsung Galaxy S10 ,34, Rp16.000.000 , Rp15.950.000 , Rp544.000.000 , Rp542.300.000 , Rp1.700.000 ,01/12/2019
JOG, LG V50 ,119, Rp12.500.000 , Rp12.435.000 , Rp1.487.500.000 , Rp1.479.765.000 , Rp7.735.000 ,01/10/2019
JOG, Xiaomi Mi 10 ,90, Rp11.000.000 , Rp10.900.000 , Rp990.000.000 , Rp981.000.000 , Rp9.000.000 ,01/08/2019
JOG, Samsung Galaxy S10 ,117, Rp16.000.000 , Rp15.950.000 , Rp1.872.000.000 , Rp1.866.150.000 , Rp5.850.000 ,01/02/2019
JOG, Realme X3 Superzoom ,56, Rp8.900.000 , Rp8.785.000 , Rp498.400.000 , Rp491.960.000 , Rp6.440.000 ,01/10/2018
JOG, Oppo Find X2 Pro ,47, Rp12.500.000 , Rp12.340.000 , Rp587.500.000 , Rp579.980.000 , Rp7.520.000 ,01/06/2019
JOG, Xiaomi Mi 10 ,129, Rp11.000.000 , Rp10.900.000 , Rp1.419.000.000 , Rp1.406.100.000 , Rp12.900.000 ,01/03/2019
JOG, Samsung Galaxy S10 ,119, Rp16.000.000 , Rp15.950.000 , Rp1.904.000.000 , Rp1.898.050.000 , Rp5.950.000 ,01/02/2019
JOG, Oppo Find X2 Pro ,125, Rp12.500.000 , Rp12.340.000 , Rp1.562.500.000 , Rp1.542.500.000 , Rp20.000.000 ,01/09/2018
JOG, Realme X3 Superzoom ,121, Rp8.900.000 , Rp8.785.000 , Rp1.076.900.000 , Rp1.062.985.000 , Rp13.915.000 ,01/12/2019
JOG, Realme X3 Superzoom ,21, Rp8.900.000 , Rp8.785.000 , Rp186.900.000 , Rp184.485.000 , Rp2.415.000 ,01/12/2019
JOG, Oppo Find X2 Pro ,91, Rp12.500.000 , Rp12.340.000 , Rp1.137.500.000 , Rp1.122.940.000 , Rp14.560.000 ,01/03/2019
JOG, Samsung Galaxy S10 ,136, Rp16.000.000 , Rp15.950.000 , Rp2.176.000.000 , Rp2.169.200.000 , Rp6.800.000 ,01/06/2019
JOG, LG V50 ,86, Rp12.500.000 , Rp12.435.000 , Rp1.075.000.000 , Rp1.069.410.000 , Rp5.590.000 ,01/06/2019
JOG, Oppo Find X2 Pro ,111, Rp12.500.000 , Rp12.340.000 , Rp1.387.500.000 , Rp1.369.740.000 , Rp17.760.000 ,01/07/2019
JOG, Samsung Galaxy S10 ,94, Rp16.000.000 , Rp15.950.000 , Rp1.504.000.000 , Rp1.499.300.000 , Rp4.700.000 ,01/10/2019
