Kota,Handphone,Unit,Revenue per Phone,Cost per phone,Revenue,Cost,Profit,Tanggal
PLM, Xiaomi Mi 10 ,48, Rp11.000.000 , Rp10.900.000 , Rp528.000.000 , Rp523.200.000 , Rp4.800.000 ,01/07/2019
PLM, Xiaomi Mi 10 ,73, Rp11.000.000 , Rp10.900.000 , Rp803.000.000 , Rp795.700.000 , Rp7.300.000 ,01/12/2019
PLM, Samsung Galaxy S10 ,73, Rp16.000.000 , Rp15.950.000 , Rp1.168.000.000 , Rp1.164.350.000 , Rp3.650.000 ,01/05/2019
PLM, Nokia 9 ,37, Rp9.540.000 , Rp9.470.000 , Rp352.980.000 , Rp350.390.000 , Rp2.590.000 ,01/10/2019
PLM, Realme X3 Superzoom ,121, Rp8.900.000 , Rp8.785.000 , Rp1.076.900.000 , Rp1.062.985.000 , Rp13.915.000 ,01/10/2019
PLM, Realme X3 Superzoom ,24, Rp8.900.000 , Rp8.785.000 , Rp213.600.000 , Rp210.840.000 , Rp2.760.000 ,01/12/2019
PLM, Oppo Find X2 Pro ,111, Rp12.500.000 , Rp12.340.000 , Rp1.387.500.000 , Rp1.369.740.000 , Rp17.760.000 ,01/12/2018
PLM, Xiaomi Mi 10 ,99, Rp11.000.000 , Rp10.900.000 , Rp1.089.000.000 , Rp1.079.100.000 , Rp9.900.000 ,01/10/2018
PLM, LG V50 ,155, Rp12.500.000 , Rp12.435.000 , Rp1.937.500.000 , Rp1.927.425.000 , Rp10.075.000 ,01/11/2019
PLM, Nokia 9 ,97, Rp9.540.000 , Rp9.470.000 , Rp925.380.000 , Rp918.590.000 , Rp6.790.000 ,01/06/2019
PLM, Realme X3 Superzoom ,32, Rp8.900.000 , Rp8.785.000 , Rp284.800.000 , Rp281.120.000 , Rp3.680.000 ,01/06/2019
PLM, Realme X3 Superzoom ,88, Rp8.900.000 , Rp8.785.000 , Rp783.200.000 , Rp773.080.000 , Rp10.120.000 ,01/11/2018
PLM, Samsung Galaxy S10 ,96, Rp16.000.000 , Rp15.950.000 , Rp1.536.000.000 , Rp1.531.200.000 , Rp4.800.000 ,01/07/2019
PLM, LG V50 ,110, Rp12.500.000 , Rp12.435.000 , Rp1.375.000.000 , Rp1.367.850.000 , Rp7.150.000 ,01/12/2019
PLM, Samsung Galaxy S10 ,128, Rp16.000.000 , Rp15.950.000 , Rp2.048.000.000 , Rp2.041.600.000 , Rp6.400.000 ,01/06/2019
PLM, Samsung Galaxy S10 ,122, Rp16.000.000 , Rp15.950.000 , Rp1.952.000.000 , Rp1.945.900.000 , Rp6.100.000 ,01/05/2019
PLM, LG V50 ,78, Rp12.500.000 , Rp12.435.000 , Rp975.000.000 , Rp969.930.000 , Rp5.070.000 ,01/02/2019
PLM, LG V50 ,77, Rp12.500.000 , Rp12.435.000 , Rp962.500.000 , Rp957.495.000 , Rp5.005.000 ,01/01/2019
PLM, Realme X3 Superzoom ,160, Rp8.900.000 , Rp8.785.000 , Rp1.424.000.000 , Rp1.405.600.000 , Rp18.400.000 ,01/11/2019
PLM, Xiaomi Mi 10 ,40, Rp11.000.000 , Rp10.900.000 , Rp440.000.000 , Rp436.000.000 , Rp4.000.000 ,01/08/2019
PLM, Samsung Galaxy S10 ,66, Rp16.000.000 , Rp15.950.000 , Rp1.056.000.000 , Rp1.052.700.000 , Rp3.300.000 ,01/09/2019
PLM, Xiaomi Mi 10 ,49, Rp11.000.000 , Rp10.900.000 , Rp539.000.000 , Rp534.100.000 , Rp4.900.000 ,01/10/2018
PLM, Nokia 9 ,98, Rp9.540.000 , Rp9.470.000 , Rp934.920.000 , Rp928.060.000 , Rp6.860.000 ,01/08/2019
PLM, Samsung Galaxy S10 ,48, Rp16.000.000 , Rp15.950.000 , Rp768.000.000 , Rp765.600.000 , Rp2.400.000 ,01/01/2019
PLM, Xiaomi Mi 10 ,107, Rp11.000.000 , Rp10.900.000 , Rp1.177.000.000 , Rp1.166.300.000 , Rp10.700.000 ,01/10/2019
PLM, Xiaomi Mi 10 ,25, Rp11.000.000 , Rp10.900.000 , Rp275.000.000 , Rp272.500.000 , Rp2.500.000 ,01/01/2019
PLM, Xiaomi Mi 10 ,71, Rp11.000.000 , Rp10.900.000 , Rp781.000.000 , Rp773.900.000 , Rp7.100.000 ,01/05/2019
PLM, Samsung Galaxy S10 ,82, Rp16.000.000 , Rp15.950.000 , Rp1.312.000.000 , Rp1.307.900.000 , Rp4.100.000 ,01/12/2019
PLM, Samsung Galaxy S10 ,120, Rp16.000.000 , Rp15.950.000 , Rp1.920.000.000 , Rp1.914.000.000 , Rp6.000.000 ,01/12/2019
PLM, Samsung Galaxy S10 ,121, Rp16.000.000 , Rp15.950.000 , Rp1.936.000.000 , Rp1.929.950.000 , Rp6.050.000 ,01/09/2019
PLM, Samsung Galaxy S10 ,56, Rp16.000.000 , Rp15.950.000 , Rp896.000.000 , Rp893.200.000 , Rp2.800.000 ,01/07/2019
PLM, Samsung Galaxy S10 ,73, Rp16.000.000 , Rp15.950.000 , Rp1.168.000.000 , Rp1.164.350.000 , Rp3.650.000 ,01/11/2018
PLM, Samsung Galaxy S10 ,144, Rp16.000.000 , Rp15.950.000 , Rp2.304.000.000 , Rp2.296.800.000 , Rp7.200.000 ,01/12/2019
PLM, Oppo Find X2 Pro ,166, Rp12.500.000 , Rp12.340.000 , Rp2.075.000.000 , Rp2.048.440.000 , Rp26.560.000 ,01/05/2019
PLM, Xiaomi Mi 10 ,62, Rp11.000.000 , Rp10.900.000 , Rp682.000.000 , Rp675.800.000 , Rp6.200.000 ,01/10/2019
PLM, LG V50 ,126, Rp12.500.000 , Rp12.435.000 , Rp1.575.000.000 , Rp1.566.810.000 , Rp8.190.000 ,01/09/2018
PLM, Realme X3 Superzoom ,44, Rp8.900.000 , Rp8.785.000 , Rp391.600.000 , Rp386.540.000 , Rp5.060.000 ,01/10/2018
PLM, Nokia 9 ,16, Rp9.540.000 , Rp9.470.000 , Rp152.640.000 , Rp151.520.000 , Rp1.120.000 ,01/12/2019
PLM, Samsung Galaxy S10 ,106, Rp16.000.000 , Rp15.950.000 , Rp1.696.000.000 , Rp1.690.700.000 , Rp5.300.000 ,01/06/2019
PLM, Samsung Galaxy S10 ,46, Rp16.000.000 , Rp15.950.000 , Rp736.000.000 , Rp733.700.000 , Rp2.300.000 ,01/12/2018
PLM, Oppo Find X2 Pro ,110, Rp12.500.000 , Rp12.340.000 , Rp1.375.000.000 , Rp1.357.400.000 , Rp17.600.000 ,01/06/2019
PLM, Samsung Galaxy S10 ,75, Rp16.000.000 , Rp15.950.000 , Rp1.200.000.000 , Rp1.196.250.000 , Rp3.750.000 ,01/09/2018
PLM, Xiaomi Mi 10 ,151, Rp11.000.000 , Rp10.900.000 , Rp1.661.000.000 , Rp1.645.900.000 , Rp15.100.000 ,01/12/2019
PLM, Nokia 9 ,56, Rp9.540.000 , Rp9.470.000 , Rp534.240.000 , Rp530.320.000 , Rp3.920.000 ,01/12/2019
PLM, Realme X3 Superzoom ,159, Rp8.900.000 , Rp8.785.000 , Rp1.415.100.000 , Rp1.396.815.000 , Rp18.285.000 ,01/05/2019
PLM, LG V50 ,48, Rp12.500.000 , Rp12.435.000 , Rp600.000.000 , Rp596.880.000 , Rp3.120.000 ,01/10/2018
PLM, Samsung Galaxy S10 ,138, Rp16.000.000 , Rp15.950.000 , Rp2.208.000.000 , Rp2.201.100.000 , Rp6.900.000 ,01/03/2019
